Index,File,Predicted,Expected,Deviation
0,4.2_pointer_20211010-103636.jpg,4.8,4.2,0.6
1,4.0_pointer_20211009-232112.jpg,4.5,4.0,0.5
2,4.4_pointer_20211008-080205.jpg,4.9,4.4,0.5
3,7.9_c2dda5aed2ce7d7a8ff6a073771b62ba.jpg,7.6,7.9,0.3
4,9.7_810ab5a789373bc1f47d93b27b1b84e3.jpg,9.4,9.7,0.3
5,3.7_dba27bce08ce2eb98561e55b122631d0.jpg,3.4,3.7,0.3
6,4.6_1ea28f634a44dbe1b67cce91d96b08c2.jpg,4.9,4.6,0.3
7,4.6_pointer_20211012-110728.jpg,5.1,4.6,0.3
8,3.7_99c027da533fcba7a9eb7f1c83500759.jpg,3.5,3.7,0.2
9,8.6_ana5_20250801-225608.jpg,8.4,8.6,0.2
10,9.3_919e154ecbf3b83604bb424a0e748c69.jpg,9.1,9.3,0.2
11,7.6_ana5_20250801-204608.jpg,7.4,7.6,0.2
12,2.8_ana5_20250802-175605.jpg,3.0,2.8,0.2
13,9.4_2a2891530d9b1ed3f14dc5390ab017d8.jpg,9.2,9.4,0.2
14,4.8_965558d9267cb37f82dd7ecc7b7061bc.jpg,4.6,4.8,0.2
15,1.6_dba0924086f044ef5fd4961ae34205c5.jpg,1.8,1.6,0.2
16,9.7_ana5_20250802-020608.jpg,9.5,9.7,0.2
17,7.1_08ecf92764f24292cfb76b25f6b5d058.jpg,7.3,7.1,0.2
18,4.3_5b9e538c19a684aa8167a846abdd5441.jpg,4.5,4.3,0.2
19,2.8.0_jdc.jpg,3.0,2.8,0.2
20,4.1_main_ana3_20221214-192121.jpg,4.3,4.1,0.2
21,6.6_ana5_20250801-184608.jpg,6.4,6.6,0.2
22,9.6_aa1fa04bc803ba225a29218a10530731.jpg,9.8,9.6,0.2
23,5.3_2538_zeiger1_2019-11-19_00-02-02.jpg,5.1,5.3,0.2
24,8.0_4015_analog3_20200822-112020.jpg,7.8,8.0,0.2
25,1.7_ana5_20250802-124606.jpg,1.5,1.7,0.2
26,4.8_pointer_20211021-235035.jpg,5.0,4.8,0.2
27,3.7_main_ana3_20221214-193621.jpg,3.5,3.7,0.2
28,9.3_a0952b7fcfb807eca24931409c7e287b.jpg,9.1,9.3,0.2
29,3.0_ana5_20250802-192605.jpg,3.2,3.0,0.2
30,6.6_3295_zeiger3_2019-09-14_22-50-13.jpg,6.8,6.6,0.2
31,6.6_46be518d62e8bb58e625826d7918a4d7.jpg,6.4,6.6,0.2
32,3.6_1d9ac015c8d0d235c44b56f055122fe1.jpg,3.4,3.6,0.2
33,7.2_47756fe78ba7e662836e9ad4a1f968a4.jpg,7.0,7.2,0.2
34,0.3_ana5_20250802-090607.jpg,0.5,0.3,0.2
35,7.6_ana5_20250801-203608.jpg,7.4,7.6,0.2
36,3.6_pointer_20211011-091850.jpg,3.4,3.6,0.2
37,9.6_0cb925e2431e0c09158df561afbb07c8.jpg,9.4,9.6,0.2
38,9.3_7828b99d31eadb1fd2df69ec736d8557.jpg,9.1,9.3,0.2
39,5.6_ana6_20250802-152606.jpg,5.4,5.6,0.2
40,5.8_2810_analog1_20200819-010922.jpg,5.6,5.8,0.2
41,2.8_jdc.jpg,3.0,2.8,0.2
42,9.1_ana4_20250801-195608.jpg,9.3,9.1,0.2
43,9.9_bba3e8309811f376c5c087bc57bc9763.jpg,9.7,9.9,0.2
44,8.7_ana6_20250802-194605.jpg,8.5,8.7,0.2
45,9.3_4613_zeiger4_2020-04-29_13-18-02.jpg,9.1,9.3,0.2
46,9.8_ana5_20250802-025607.jpg,9.6,9.8,0.2
47,5.8_f0dbafc97ed915971cc02bf7d70bfa5b.jpg,6.0,5.8,0.2
48,7.4_0f97d973863c2591cff2f191502008a0.jpg,7.6,7.4,0.2
49,1.8_0bce9aebd6a4db61d23b46ad0723efc9.jpg,2.0,1.8,0.2
50,3.6_main_ana3_20221213-123635.jpg,3.4,3.6,0.2
51,7.8_ana5_20250801-210608.jpg,7.6,7.8,0.2
52,0.6_ana6_20250802-183605.jpg,0.4,0.6,0.2
53,0.2_b996a82eca0579959c32b800815d045b.jpg,0.0,0.2,0.2
54,8.0_fcf8e00e910284c952b71703d32f2ac9.jpg,7.8,8.0,0.2
55,2.2_870cac6280d671dd72f15cf0b86f3192.jpg,2.4,2.2,0.2
56,9.3_ana6_20250802-062607.jpg,9.5,9.3,0.2
57,3.6_6148aceb40393a66a22df4331ced0755.jpg,3.8,3.6,0.2
58,6.3_ana6_20250802-081607.jpg,6.5,6.3,0.2
59,4.3_b7479f535ae747907bdde5a3bead7c19.jpg,4.5,4.3,0.2
60,9.6_ana6_20250802-191605.jpg,9.4,9.6,0.2
61,0.0_ana2_20230501-181307.jpg,9.8,0.0,0.2
62,2.9_2ad3dd7d058798612aef75f5f958534d.jpg,2.7,2.9,0.2
63,2.6_analog3_20200926-214906.jpg,2.4,2.6,0.2
64,7.6_ana6_20250802-113606.jpg,7.8,7.6,0.2
65,4.4_2153_zeiger4_2019-06-01T205012.jpg,4.2,4.4,0.2
66,4.1_dbb12a72a7aa78d8694425e75a39a641.jpg,4.3,4.1,0.2
67,9.6_c2996bad7feda226091a541b5927397b.jpg,9.4,9.6,0.2
68,7.7_dea25d2fe06d2ee843a1993d1d53c380.jpg,7.9,7.7,0.2
